Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF_0805_25V,C_0805,102.3,-132.0,270.0,bottom
C2,10uF_0805_25V,C_0805,117.7,-131.6,270.0,bottom
C3,22uF_0805_25V,C_0805,110.9,-131.6,90.0,bottom
C5,33pF C0G,C_0603,109.3,-162.5,270.0,bottom
C6,22uF_0805_25V,C_0805,109.0,-131.6,90.0,bottom
C8,33pF C0G,C_0603,102.0,-145.85,90.0,bottom
D1,Schottky,D_SMA_Handsoldering,116.75,-124.75,90.0,bottom
D2,Schottky,D_SMA_Handsoldering,103.25,-124.75,270.0,bottom
L1,FerriteBead_0603_2A,R_0603,112.4,-119.9,180.0,bottom
L2,FerriteBead_0603_2A,R_0603,108.9,-119.9,0.0,bottom
R1,100k_0603,R_0603,109.4,-187.0,180.0,bottom
R10,100k_0603,R_0603,112.4,-187.8,270.0,bottom
R11,100k_0603,R_0603,110.3,-189.5,270.0,bottom
R12,100k_0603,R_0603,111.9,-198.8,270.0,bottom
R13,100k_0603,R_0603,107.4,-199.7,0.0,bottom
R17,100k_0603,R_0603,105.6,-146.2,0.0,bottom
R18,1k_0603,R_0603,105.4,-148.4,0.0,bottom
R19,100k_0603,R_0603,106.3,-143.7,270.0,bottom
R2,100k_0603,R_0603,115.0,-181.8,90.0,bottom
R20,100k_0603,R_0603,102.1,-158.55,90.0,bottom
R3,100k_0603,R_0603,103.2,-182.75,90.0,bottom
R4,100k_0603,R_0603,105.0,-182.75,90.0,bottom
R5,100k_0603,R_0603,109.8,-136.8,0.0,bottom
R6,1R,R_0603,111.6,-129.0,0.0,bottom
R7,1R,R_0603,108.3,-129.0,180.0,bottom
R8,100k_0603,R_0603,104.0,-158.6,270.0,bottom
R9,1k_0603,R_0603,111.0,-162.5,90.0,bottom
U1,TL072,SOIC-8_3.9x4.9mm_P1.27mm,110.25,-183.0,270.0,bottom
U2,TL072,SOIC-8_3.9x4.9mm_P1.27mm,104.5,-167.845,270.0,bottom
U3,TL072,SOIC-8_3.9x4.9mm_P1.27mm,110.0,-208.0,180.0,bottom
U4,TL072,SOIC-8_3.9x4.9mm_P1.27mm,110.1,-145.9,180.0,bottom
U7,AMS1117-5.0,SOT-223-3_TabPin2,110.0,-124.5,180.0,bottom
