Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF Film,C_1210,125.3,-161.85,90.0,bottom
C10,330pF C0G,C_0603,134.725,-155.8,0.0,bottom
C2,100nF Film,C_1210,125.25,-172.2,270.0,bottom
C3,33pF_C0G_0603_50V,C_0603,131.3,-147.05,90.0,bottom
C4,33pF_C0G_0603_50V,C_0603,118.5,-153.1,270.0,bottom
C5,33pF_C0G_0603_50V,C_0603,131.35,-152.55,270.0,bottom
C6,33pF_C0G_0603_50V,C_0603,118.5,-146.3,90.0,bottom
C7,330pF C0G,C_0603,146.55,-160.4,90.0,bottom
C8,330pF C0G,C_0603,146.55,-165.9,90.0,bottom
C9,330pF C0G,C_0603,130.1,-165.75,270.0,bottom
OP1,TL074,SOIC-14_3.9x8.7mm_P1.27mm,112.525,-199.21,270.0,bottom
OP2,TL074,SOIC-14_3.9x8.7mm_P1.27mm,125.55,-122.45,180.0,bottom
OP3,TL074,SOIC-14_3.9x8.7mm_P1.27mm,124.95,-149.8,270.0,bottom
OP4,TL074,SOIC-14_3.9x8.7mm_P1.27mm,136.575,-163.15,270.0,bottom
R1,100k_0603,R_0603,119.35,-196.8,270.0,bottom
R10,5.1k_0603,R_0603,105.5,-133.25,90.0,bottom
R11,10k_0603,R_0603,143.0,-174.45,90.0,bottom
R12,10k_0603,R_0603,108.0,-174.5,90.0,bottom
R13,5.1k_0603,R_0603,141.5,-124.3,0.0,bottom
R14,5.1k_0603,R_0603,140.0,-134.1,90.0,bottom
R15,1k_0603,R_0603,133.8,-187.6,180.0,bottom
R16,1k_0603,R_0603,103.9,-180.35,0.0,bottom
R17,100k_0603,R_0603,132.15,-150.0,0.0,bottom
R18,100k_0603,R_0603,133.05,-152.55,270.0,bottom
R19,100k_0603,R_0603,105.5,-136.55,270.0,bottom
R2,100k_0603,R_0603,121.4,-201.1,90.0,bottom
R20,100k_0603,R_0603,118.3,-167.4,90.0,bottom
R21,100k_0603,R_0603,135.5,-153.4,0.0,bottom
R22,100k_0603,R_0603,119.35,-150.5,180.0,bottom
R23,100k_0603,R_0603,129.6,-147.05,90.0,bottom
R24,100k_0603,R_0603,120.2,-153.1,270.0,bottom
R25,100k_0603,R_0603,134.65,-147.05,90.0,bottom
R26,100k_0603,R_0603,133.0,-147.05,90.0,bottom
R27,100k_0603,R_0603,119.35,-143.8,0.0,bottom
R28,100k_0603,R_0603,119.35,-148.8,180.0,bottom
R29,100k_0603,R_0603,129.6,-152.55,270.0,bottom
R3,100k_0603,R_0603,110.4,-206.8,180.0,bottom
R30,100k_0603,R_0603,120.2,-146.3,90.0,bottom
R31,10k_0603,R_0603,144.85,-160.4,90.0,bottom
R32,10k_0603,R_0603,144.85,-165.9,270.0,bottom
R33,1k_0603,R_0603,142.125,-159.55,180.0,bottom
R34,1k_0603,R_0603,142.2,-166.75,180.0,bottom
R35,10k_0603,R_0603,110.5,-136.55,90.0,bottom
R36,10k_0603,R_0603,108.0,-149.7,90.0,bottom
R37,10k_0603,R_0603,131.8,-165.75,270.0,bottom
R38,10k_0603,R_0603,134.7,-157.6,0.0,bottom
R39,10k_0603,R_0603,108.0,-146.35,270.0,bottom
R4,100k_0603,R_0603,113.9,-205.0,0.0,bottom
R40,10k_0603,R_0603,110.5,-133.15,270.0,bottom
R5,100k_0603,R_0603,117.3,-196.8,90.0,bottom
R6,100k_0603,R_0603,123.2,-201.1,270.0,bottom
R7,100k_0603,R_0603,110.4,-205.0,0.0,bottom
R8,100k_0603,R_0603,107.75,-196.45,90.0,bottom
R9,5.1k_0603,R_0603,105.45,-124.35,270.0,bottom
