Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805,136.95,-199.75,-90.0,top
C2,10uF,C_0805,113.4,-190.0,-90.0,top
C4,10uF,C_0805,110.72,-190.01,-90.0,top
C5,10uF,C_0805,107.92,-189.99,-90.0,top
C6,10uF,C_0805,139.83,-199.74,-90.0,top
C7,10uF,C_0805,142.78,-199.75,-90.0,top
D1,Schottky,D_SMA_Handsoldering,117.25,-191.8,-90.0,top
D2,Schottky,D_SMA_Handsoldering,133.15,-201.55,90.0,top
L1,FerriteBead_0603_2A,R_0603,117.25,-198.8,90.0,top
L2,FerriteBead_0603_2A,R_0603,133.15,-208.8,90.0,top
R1,39K,R_0603,136.95,-192.35,90.0,top
R2,10K,R_0603,133.81,-192.36,-90.0,top
