Comment,Designator,Footprint,LCSC,Quantity
10uF,"C15,C16,C27,C28,C29,C30",C_1206_3216Metric,C13585,6
FerriteBead_0603_2A,"L1,L2",R_0603,C14709,2
1K,"R16,R26,R33,R42",R_0603,C21190,4
15K,"R50,R8",R_0603,C22809,2
27K,"R13,R54",R_0603,C22967,2
2K,"R24,R40",R_0603,C22975,2
68K,"R10,R17,R51,R52",R_0603,C23231,4
100K,"R1,R12,R18,R34,R49,R53",R_0603,C25803,6
10K,"R55,R56",R_0603,C25804,2
100nF,"C17,C18,C19,C20,C21,C22,C23,C24,C25,C26",C_0402_1005Metric_small_pads,C307331,10
33K,"R19,R20,R22,R25,R29,R30,R31,R32,R35,R36,R39,R41,R45,R46,R47,R48",R_0603,C4216,16
MMBD4148TW,"D1,D2,D3,D4,D5,D6",SOT-363_SC-70-6,C5240652,6
1nF,"C10,C11,C13,C14,C2,C3,C4,C6,C7,C9",C_0805,C569826,10
TL072,U6,SOIC-8_3.9x4.9mm_P1.27mm,C6961,1
TL074,"U2,U3,U4,U5",SOIC-14_3.9x8.7mm_P1.27mm,C6964,4
02x07 Pins,J8,PinHeader_2x07_P2.54mm_Vertical_SMD,C84004,1
Schottky,"D7,D8",D_SMA_Handsoldering,C8678,2
