Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,1nF,C_0805,118.75,-145.35,0.0,top
C11,1nF,C_0805,118.75,-147.45,0.0,top
C13,1nF,C_0805,126.7,-146.0,180.0,top
C14,1nF,C_0805,118.7,-153.49,0.0,top
C15,10uF,C_1206_3216Metric,123.6,-199.2,180.0,top
C16,10uF,C_1206_3216Metric,123.6,-195.85,180.0,top
C17,100nF,C_0402_1005Metric_small_pads,102.65,-170.02,180.0,top
C18,100nF,C_0402_1005Metric_small_pads,115.85,-169.46,180.0,top
C19,100nF,C_0402_1005Metric_small_pads,103.95,-120.7,180.0,top
C2,1nF,C_0805,123.05,-158.35,-90.0,top
C20,100nF,C_0402_1005Metric_small_pads,102.325,-139.0,-90.0,top
C21,100nF,C_0402_1005Metric_small_pads,114.685,-151.45,0.0,top
C22,100nF,C_0402_1005Metric_small_pads,112.35,-169.5,90.0,top
C23,100nF,C_0402_1005Metric_small_pads,126.275,-170.02,0.0,top
C24,100nF,C_0402_1005Metric_small_pads,113.85,-120.7,0.0,top
C25,100nF,C_0402_1005Metric_small_pads,111.5,-138.5,0.0,top
C26,100nF,C_0402_1005Metric_small_pads,105.3,-156.95,-90.0,top
C27,10uF,C_1206_3216Metric,123.6,-192.5,180.0,top
C28,10uF,C_1206_3216Metric,106.4,-199.446,0.0,top
C29,10uF,C_1206_3216Metric,106.4,-196.096,0.0,top
C3,1nF,C_0805,119.15,-163.06,0.0,top
C30,10uF,C_1206_3216Metric,106.375,-192.6,0.0,top
C4,1nF,C_0805,126.4,-181.84,180.0,top
C6,1nF,C_0805,117.95,-182.44,0.0,top
C7,1nF,C_0805,117.95,-180.14,0.0,top
C9,1nF,C_0805,118.75,-143.25,0.0,top
D1,MMBD4148TW,SOT-363_SC-70-6,111.05,-162.67,180.0,top
D2,MMBD4148TW,SOT-363_SC-70-6,122.9875,-161.51,180.0,top
D3,MMBD4148TW,SOT-363_SC-70-6,122.2125,-181.19,0.0,top
D4,MMBD4148TW,SOT-363_SC-70-6,103.1,-128.5125,90.0,top
D5,MMBD4148TW,SOT-363_SC-70-6,122.725,-145.35,180.0,top
D6,MMBD4148TW,SOT-363_SC-70-6,122.7,-152.85,0.0,top
D7,Schottky,D_SMA_Handsoldering,122.6,-203.05,180.0,top
D8,Schottky,D_SMA_Handsoldering,107.4,-203.046,180.0,top
J8,02x07 Pins,PinHeader_2x07_P2.54mm_Vertical_SMD,122.5,-122.5,180.0,top
L1,FerriteBead_0603_2A,R_0603,120.1,-206.85,90.0,top
L2,FerriteBead_0603_2A,R_0603,109.9,-206.8,90.0,top
R1,100K,R_0603,106.25,-163.2,-90.0,top
R10,68K,R_0603,104.6,-163.2,-90.0,top
R12,100K,R_0603,113.65,-159.32,-90.0,top
R13,27K,R_0603,111.95,-159.32,90.0,top
R16,1K,R_0603,106.1,-188.85,180.0,top
R17,68K,R_0603,102.9,-163.2,-90.0,top
R18,100K,R_0603,114.43,-163.07,90.0,top
R19,33K,R_0603,107.75,-176.72,0.0,top
R20,33K,R_0603,114.3,-173.42,-90.0,top
R22,33K,R_0603,109.45,-178.52,180.0,top
R24,2K,R_0603,113.45,-175.97,0.0,top
R25,33K,R_0603,126.125,-166.82,90.0,top
R26,1K,R_0603,127.925,-166.82,-90.0,top
R29,33K,R_0603,116.0,-173.42,-90.0,top
R30,33K,R_0603,116.85,-175.97,180.0,top
R31,33K,R_0603,116.0,-167.21,90.0,top
R32,33K,R_0603,114.25,-167.2,-90.0,top
R33,1K,R_0603,127.6,-137.36,90.0,top
R34,100K,R_0603,103.95,-131.55,0.0,top
R35,33K,R_0603,102.1,-120.72,-90.0,top
R36,33K,R_0603,103.3,-123.27,180.0,top
R39,33K,R_0603,103.025,-116.65,-90.0,top
R40,2K,R_0603,103.3,-124.97,180.0,top
R41,33K,R_0603,111.475,-141.63,-90.0,top
R42,1K,R_0603,113.375,-139.93,-90.0,top
R45,33K,R_0603,101.985,-135.33,90.0,top
R46,33K,R_0603,107.1,-129.3,90.0,top
R47,33K,R_0603,110.4,-129.3,90.0,top
R48,33K,R_0603,108.75,-129.3,-90.0,top
R49,100K,R_0603,114.75,-135.43,-90.0,top
R50,15K,R_0603,111.35,-135.43,90.0,top
R51,68K,R_0603,113.05,-135.43,-90.0,top
R52,68K,R_0603,104.0,-149.25,180.0,top
R53,100K,R_0603,115.5,-118.45,-90.0,top
R54,27K,R_0603,113.7,-118.45,90.0,top
R55,10K,R_0603,104.825,-152.1,90.0,top
R56,10K,R_0603,104.0,-154.695,0.0,top
R8,15K,R_0603,102.9,-166.85,90.0,top
U2,TL074,SOIC-14_3.9x8.7mm_P1.27mm,107.825,-170.02,270.0,top
U3,TL074,SOIC-14_3.9x8.7mm_P1.27mm,121.025,-170.01,270.0,top
U4,TL074,SOIC-14_3.9x8.7mm_P1.27mm,108.875,-120.7,270.0,top
U5,TL074,SOIC-14_3.9x8.7mm_P1.27mm,106.625,-138.49,270.0,top
U6,TL072,SOIC-8_3.9x4.9mm_P1.27mm,109.675,-153.35,270.0,top
