Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C31,100nF,C_0402_1005Metric_small_pads,125.2,-169.3,270.0,bottom
C32,100nF,C_0402_1005Metric_small_pads,114.5,-168.0,90.0,bottom
J7,02x07 Socket,PinSocket_2x07_P2.54mm_Vertical_SMD,122.5,-122.5,180.0,bottom
R11,12K,R_0603,125.5,-172.2,270.0,bottom
R14,100K,R_0603,127.5,-172.2,90.0,bottom
R15,10K,R_0603,120.0,-175.0,0.0,bottom
R2,27K,R_0603,102.7,-130.2,90.0,bottom
R21,100K,R_0603,111.1,-134.9,90.0,bottom
R23,2K,R_0603,113.5,-133.2,90.0,bottom
R27,1K,R_0603,113.5,-145.9,270.0,bottom
R28,100K,R_0603,111.1,-144.2,270.0,bottom
R3,10K,R_0603,114.2,-172.2,270.0,bottom
R37,100K,R_0603,111.1,-139.2,90.0,bottom
R38,2K,R_0603,113.5,-137.5,90.0,bottom
R4,10K,R_0603,127.5,-168.4,270.0,bottom
R43,1K,R_0603,113.4,-150.7,270.0,bottom
R44,100K,R_0603,111.2,-150.7,90.0,bottom
R5,10K,R_0603,108.9,-164.3,180.0,bottom
R6,10K,R_0603,110.5,-170.5,270.0,bottom
R7,1K,R_0603,127.5,-164.2,90.0,bottom
R9,10K,R_0603,114.2,-165.2,90.0,bottom
U1,TL074,SOIC-14_3.9x8.7mm_P1.27mm,119.9,-168.8,270.0,bottom
