Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C5,33pF C0G,C_0603,117.85,-175.72,-90.0,top
C6,33pF C0G,C_0603,117.85,-163.22,-90.0,top
C7,10uF,C_0805,104.99,-197.86,0.0,top
C8,10uF,C_0805,115.29,-197.92,180.0,top
D1,Schottky,D_SMA_Handsoldering,114.74,-200.58,180.0,top
D2,Schottky,D_SMA_Handsoldering,105.54,-200.6,180.0,top
L1,FerriteBead_0603_2A,R_0603,114.23,-208.0,180.0,top
L2,FerriteBead_0603_2A,R_0603,105.8,-207.99,0.0,top
R1,100K,R_0402_1005Metric,102.65,-147.97,90.0,top
R10,100K,R_0402_1005Metric,103.79,-163.92,-90.0,top
R11,100K,R_0402_1005Metric,105.08,-170.38,-90.0,top
R12,100K,R_0402_1005Metric,103.61,-169.36,-90.0,top
R13,100K,R_0402_1005Metric,116.03,-176.37,90.0,top
R14,100K,R_0402_1005Metric,116.54,-178.05,180.0,top
R15,1K,R_0402_1005Metric,114.55,-175.13,90.0,top
R16,100K,R_0402_1005Metric,116.55,-179.25,180.0,top
R17,100K,R_0402_1005Metric,116.1,-163.89,90.0,top
R18,100K,R_0402_1005Metric,116.62,-165.67,180.0,top
R19,1K,R_0402_1005Metric,114.54,-162.77,90.0,top
R2,100K,R_0402_1005Metric,101.51,-147.96,-90.0,top
R20,100K,R_0402_1005Metric,116.65,-166.95,180.0,top
R21,10K,R_0402_1005Metric,117.87,-114.88,90.0,top
R22,12K,R_0402_1005Metric,117.87,-116.96,90.0,top
R3,100K,R_0402_1005Metric,105.03,-176.27,90.0,top
R4,100K,R_0402_1005Metric,103.62,-176.26,-90.0,top
R5,100K,R_0402_1005Metric,105.05,-182.62,-90.0,top
R6,100K,R_0402_1005Metric,103.47,-181.6,-90.0,top
R7,100K,R_0402_1005Metric,102.58,-125.55,90.0,top
R8,100K,R_0402_1005Metric,102.57,-127.7,90.0,top
R9,100K,R_0402_1005Metric,105.04,-163.93,90.0,top
U1,TL074,SOIC-14_3.9x8.7mm_P1.27mm,107.25,-151.16,270.0,top
U3,TL074,SOIC-14_3.9x8.7mm_P1.27mm,110.0,-179.45,270.0,top
U5,TL074,SOIC-14_3.9x8.7mm_P1.27mm,107.25,-128.84,270.0,top
U7,TL074,SOIC-14_3.9x8.7mm_P1.27mm,110.0,-167.09,270.0,top
