Comment,Designator,Footprint,LCSC,Quantity
1k_0402,"R16,R2,R5,R6",R_0402_1005Metric,C11702,4
15pF_0402,"C4,C5",C_0402_1005Metric_small_pads,C1548,2
Conn_01x03_MountingPin,J1,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,C160403,1
USB_C_Receptacle_USB2.0_16P,"J2,J3",USB_C_Receptacle_HRO_TYPE-C-31-M-12_Overhanging,C165948,2
4.7uF_0805_25V,C8,C_0805,C1779,1
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,1
Yellow,D1,LED_0805_2012Metric,C2296,1
Green,D2,LED_0805_2012Metric,C2297,1
4k7_0603,R9,R_0603,C23162,1
7k7_0603,"R10,R7,R8",R_0603,C23186,3
4.7uF_0402,"C10,C3,C7,C9",C_0402_1005Metric_small_pads,C23733,4
10R_0402,R12,R_0402_1005Metric,C25077,1
220R_0402,"R13,R14",R_0402_1005Metric,C25091,2
27R_0402,"R3,R4",R_0402_1005Metric,C25100,2
33R_0402,"R1,R11",R_0402_1005Metric,C25105,2
470R_0402,R15,R_0402_1005Metric,C25117,1
1uF_0805_50V,C2,C_0805,C28323,1
100nF_0402_50V,"C1,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C6",C_0402_1005Metric_small_pads,C307331,12
RP2354_60QFN,U2,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,C41378174,1
3.3uH,L1,L_pol_2016,C42411119,1
LDL1117-3.3,U1,SOT-223-3_TabPin2,C435835,1
HCPL-0631,U5,SOIC-8_3.9x4.9mm_P1.27mm,C43949,1
Button_Switch_SMD_Push_1P1T_Wurth,SW1,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,C5504987,1
USBLC6-2SC6,"U3,U4",SOT-23-6,C7519,2
TRS,"J4,J5",Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal_Overhanging,C95562,2
