Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric_small_pads,127.35,-117.46,0.0,top
C10,4.7uF,C_0402_1005Metric_small_pads,117.125,-120.28,90.0,top
C11,100nF,C_0402_1005Metric_small_pads,123.9,-123.1,-90.0,top
C12,100nF,C_0402_1005Metric_small_pads,127.35,-118.82,0.0,top
C13,100nF,C_0402_1005Metric_small_pads,116.15,-115.65,180.0,top
C14,100nF,C_0402_1005Metric_small_pads,127.35,-114.8,0.0,top
C15,100nF,C_0402_1005Metric_small_pads,119.0,-110.65,90.0,top
C16,100nF,C_0402_1005Metric_small_pads,116.15,-118.8,180.0,top
C17,100nF,C_0402_1005Metric_small_pads,123.87,-110.02,90.0,top
C18,100nF,C_0402_1005Metric_small_pads,116.15,-117.75,180.0,top
C19,100nF,C_0402_1005Metric_small_pads,124.451,-121.225,-90.0,top
C2,1uF,C_0805,133.55,-118.3,180.0,top
C20,100nF,C_0402_1005Metric_small_pads,114.25,-108.6,0.0,top
C21,100nF,C_0603,130.65,-124.43,-90.0,top
C22,10uF,C_0603,141.37,-123.18,90.0,top
C23,47uF,C_1206_3216Metric,127.498748,-128.83,180.0,top
C24,47uF,C_1206_3216Metric,127.495,-123.97,180.0,top
C25,47uF,C_1206_3216Metric,127.495,-126.4,180.0,top
C3,4.7uF,C_0402_1005Metric_small_pads,121.4,-110.35,90.0,top
C4,15pF,C_0402_1005Metric_small_pads,124.4,-107.15,180.0,top
C5,15pF,C_0402_1005Metric_small_pads,122.0,-107.15,0.0,top
C6,100nF,C_0402_1005Metric_small_pads,116.15,-116.7,180.0,top
C7,4.7uF,C_0402_1005Metric_small_pads,119.55,-120.7,180.0,top
C8,4.7uF,C_0805,133.55,-116.05,180.0,top
C9,4.7uF,C_0402_1005Metric_small_pads,119.55,-121.675,180.0,top
D1,Yellow,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,114.286399,-104.65,-90.0,top
D2,Green,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,118.25,-104.65,-90.0,top
J1,Conn_01x03_MountingPin,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,103.3,-115.0,-90.0,top
J2,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12_Overhanging,104.65,-126.5,90.0,top
J3,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12_Overhanging,146.35,-126.5,270.0,top
J4,TRS,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal_Overhanging,106.35,-105.0,0.0,top
J5,TRS,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal_Overhanging,144.65,-105.0,180.0,top
L1,3.3uH,L_pol_2016,119.625,-123.225,180.0,top
R1,33R,R_0402_1005Metric,117.125,-122.165,90.0,top
R11,33R,R_0402_1005Metric,141.0,-110.75,180.0,top
R12,10R,R_0402_1005Metric,127.35,-116.4,0.0,top
R13,220R,R_0402_1005Metric,133.49,-101.5,0.0,top
R14,220R,R_0402_1005Metric,128.4,-104.86,90.0,top
R15,470R,R_0402_1005Metric,131.985,-110.725,0.0,top
R16,1K,R_0402_1005Metric,122.5,-110.35,90.0,top
R17,27R,R_0402_1005Metric,126.02,-111.08,0.0,top
R18,27R,R_0402_1005Metric,126.02,-110.08,0.0,top
R19,100K,R_0402_1005Metric,134.12,-126.84,180.0,top
R2,1k,R_0402_1005Metric,117.51,-128.15,90.0,top
R3,27R,R_0402_1005Metric,121.8,-122.7,-90.0,top
R4,27R,R_0402_1005Metric,122.85,-122.7,-90.0,top
R5,1K,R_0402_1005Metric,114.285,-107.2,0.0,top
R6,1.5K,R_0402_1005Metric,118.3,-107.1875,180.0,top
R7,5.1K,R_0603,110.1,-125.25,0.0,top
R8,5.1K,R_0603,110.67,-128.25,0.0,top
SW1,1P1T Switch,SW_SPST_TS-1088-xR020,121.17,-128.69,180.0,top
U1,LDL1117-3.3,SOT-223-3_TabPin2,139.6,-116.0,180.0,top
U2,RP2354_60QFN,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,121.8,-116.0,180.0,top
U3,USBLC6-2SC6,SOT-23-6,114.65,-126.50375,90.0,top
U4,USBLC6-2SC6,SOT-23-6,137.7525,-124.7075,180.0,top
U5,HCPL-0631,SOIC-8_3.9x4.9mm_P1.27mm,132.1,-106.125,180.0,top
U6,TPS25810RVC,Texas_RVC0020A_WQFN-20-1EP_3x4mm_P0.5mm_EP1.6x2.6mm_ThermalVias,133.62,-123.72,0.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,123.2,-104.7,180.0,top
